Country,Date,Confirmed,Deaths,Lat,Long,Population,Recovered,Code
Liberia,7/25/20,1155,71,6.428055,-9.429499,5057677,631,LBR
Liechtenstein,7/25/20,86,1,47.14,9.55,38137,81,LIE
Lithuania,7/25/20,2001,80,55.1694,23.8813,2722291,1616,LTU
Luxembourg,7/25/20,6189,112,49.8153,6.1296,625976,4647,LUX
Madagascar,7/25/20,8866,78,-18.766947,46.869107,27691019,5579,MDG
Malaysia,7/25/20,8884,123,4.210484,101.975766,32365998,8594,MYS
Maldives,7/25/20,3252,15,3.2028,73.2207,540542,2498,MDV
Malta,7/25/20,686,9,35.9375,14.3754,441539,665,MLT
Mauritania,7/25/20,6151,156,21.0079,-10.9408,4649660,4299,MRT
Mauritius,7/25/20,344,10,-20.348404,57.552152,1271767,332,MUS
Mexico,7/25/20,385036,42645,23.6345,-102.5528,127792286,288819,MEX
Moldova,7/25/20,22828,732,47.4116,28.3699,4033963,15608,MDA
Monaco,7/25/20,116,4,43.7333,7.4167,39244,104,MCO
Mongolia,7/25/20,288,0,46.8625,103.8467,3278292,218,MNG
Montenegro,7/25/20,2747,43,42.708678,19.37439,628062,664,MNE
Morocco,7/25/20,19645,305,31.7917,-7.0926,36910558,16282,MAR
Namibia,7/25/20,1687,7,-22.9576,18.4904,2540916,72,NAM
Nepal,7/25/20,18483,45,28.1667,84.25,29136808,13053,NPL
Netherlands,7/25/20,52732,6140,52.1326,5.2913,17134873,196,NLD
New Zealand,7/25/20,1556,22,-40.9006,174.886,4822233,1513,NZL
Nicaragua,7/25/20,3439,108,12.865416,-85.207229,6624554,2492,NIC
Niger,7/25/20,1124,69,17.607789,8.081666,24206636,1025,NER
Cambodia,7/25/20,225,0,11.55,104.9167,16718971,143,KHM
Cameroon,7/25/20,16708,385,3.848,11.5021,26545864,14539,CMR
Canada,7/25/20,115457,8929,60,-95,37855702,100765,CAN
Central African Republic,7/25/20,4598,59,6.6111,20.9394,4829764,1506,CAF
Chad,7/25/20,915,75,15.4542,18.7322,16425859,810,TCD
Chile,7/25/20,343592,9020,-35.6751,-71.543,19116209,316169,CHL
China,7/25/20,86381,4652,30.5928,114.3055,1404676330,80409,CHN
Colombia,7/25/20,240795,8269,4.5709,-74.2973,50882884,119667,COL
Congo (Brazzaville),7/25/20,3038,51,-0.228,15.8277,5518092,756,COG
Congo (Kinshasa),7/25/20,8801,204,-4.0383,21.7587,89561404,5305,COD
Costa Rica,7/25/20,14600,98,9.7489,-83.7534,5094114,3640,CRI
Cote d'Ivoire,7/25/20,15494,94,7.54,-5.5471,26378275,9880,CIV
Croatia,7/25/20,4792,133,45.1,15.2,4105268,3778,HRV
Cuba,7/25/20,2478,87,21.521757,-77.781167,11326616,2345,CUB
Cyprus,7/25/20,1053,19,35.1264,33.4299,1207361,852,CYP
Czechia,7/25/20,15212,369,49.8175,15.473,10708982,9590,CZE
Denmark,7/25/20,13438,613,56.2639,9.5018,5792203,12340,DNK
Djibouti,7/25/20,5039,58,11.8251,42.5903,988002,4949,DJI
Dominican Republic,7/25/20,60896,1055,18.7357,-70.1627,10847904,27980,DOM
Ecuador,7/25/20,80036,5507,-1.8312,-78.1834,17643060,34544,ECU
Egypt,7/25/20,91583,4558,26.820553,30.802498,102334403,32903,EGY
El Salvador,7/25/20,14221,390,13.7942,-88.8965,6486201,7549,SLV
Equatorial Guinea,7/25/20,3071,51,1.6508,10.2679,1402985,842,GNQ
Eritrea,7/25/20,263,0,15.1794,39.7823,3546427,189,ERI
Estonia,7/25/20,2033,69,58.5953,25.0136,1326539,1915,EST
Ethiopia,7/25/20,13248,209,9.145,40.4897,114963583,5966,ETH
Fiji,7/25/20,27,0,-17.7134,178.065,896444,18,FJI
South Africa,7/25/20,434200,6655,-30.5595,22.9375,59308690,263054,ZAF
Spain,7/25/20,272421,28432,40.463667,-3.74922,46754783,150376,ESP
Sri Lanka,7/25/20,2770,11,7.873054,80.771797,21413250,2103,LKA
Sudan,7/25/20,11385,717,12.8628,30.2176,43849269,5890,SDN
Suriname,7/25/20,1381,23,3.9193,-56.0278,586634,853,SUR
Sweden,7/25/20,78997,5697,60.128161,18.643501,10099270,0,SWE
Switzerland,7/25/20,34302,1977,46.8182,8.2275,8654618,30500,CHE
Taiwan*,7/25/20,458,7,23.7,121,23816775,440,TWN
Tanzania,7/25/20,509,21,-6.369028,34.888822,59734213,183,TZA
Thailand,7/25/20,3282,58,15.870032,100.992541,69799978,3109,THA
Togo,7/25/20,853,17,8.6195,0.8248,8278737,587,TGO
Trinidad and Tobago,7/25/20,147,8,10.6918,-61.2225,1399491,128,TTO
Tunisia,7/25/20,1443,50,33.886917,9.537499,11818618,1133,TUN
Turkey,7/25/20,225173,5596,38.9637,35.2433,84339067,208477,TUR
Uganda,7/25/20,1103,1,1.373333,32.290275,45741000,982,UGA
Ukraine,7/25/20,65317,1610,48.3794,31.1656,43733759,36573,UKR
United Arab Emirates,7/25/20,58562,343,23.424076,53.847818,9890400,51628,ARE
United Kingdom,7/25/20,298681,45738,55.3781,-3.436,67886004,1427,GBR
Uruguay,7/25/20,1174,34,-32.5228,-55.7658,3473727,947,URY
US,7/25/20,4178021,146460,40,-100,329466283,1279414,USA
Uzbekistan,7/25/20,19952,111,41.377491,64.585262,33469199,10831,UZB
Venezuela,7/25/20,14929,138,6.4238,-66.5897,28435943,8795,VEN
Vietnam,7/25/20,417,0,14.058324,108.277199,97338583,365,VNM
Zambia,7/25/20,4328,139,-13.133897,27.849332,18383956,1953,ZMB
Zimbabwe,7/25/20,2434,34,-19.015438,29.154857,14862927,518,ZWE
Dominica,7/25/20,18,0,15.415,-61.371,71991,18,DMA
Grenada,7/25/20,23,0,12.1165,-61.679,112519,23,GRD
Mozambique,7/25/20,1616,11,-18.665695,35.529562,31255435,543,MOZ
Finland,7/25/20,7388,329,61.92411,25.748151,5540718,6920,FIN
Nigeria,7/25/20,39977,856,9.082,8.6753,206139587,16948,NGA
Syria,7/25/20,627,36,34.802075,38.996815,17500657,191,SYR
Timor-Leste,7/25/20,24,0,-8.874217,125.727539,1318442,24,TLS
Belize,7/25/20,48,2,17.1899,-88.4976,397621,26,BLZ
Laos,7/25/20,20,0,19.85627,102.495496,7275556,19,LAO
Libya,7/25/20,2547,58,26.3351,17.228331,6871287,510,LBY
Guinea-Bissau,7/25/20,1954,26,11.8037,-15.1804,1967998,803,GNB
Mali,7/25/20,2503,123,17.570692,-3.996166,20250834,1907,MLI
Saint Kitts and Nevis,7/25/20,17,0,17.357822,-62.782998,53192,15,KNA
Burma,7/25/20,348,6,21.9162,95.956,54409794,288,MMR
Botswana,7/25/20,686,1,-22.3285,24.6849,2351625,52,BWA
Burundi,7/25/20,361,1,-3.3731,29.9189,11890781,279,BDI
Sierra Leone,7/25/20,1768,66,8.460555,-11.779889,7976985,1297,SLE
Malawi,7/25/20,3453,87,-13.2543,34.3015,19129955,1373,MWI
Western Sahara,7/25/20,10,1,24.2155,-12.8858,597330,8,ESH
Sao Tome and Principe,7/25/20,862,14,0.1864,6.6131,219161,662,STP
Yemen,7/25/20,1674,474,15.552727,48.516388,29825968,780,YEM
Comoros,7/25/20,340,7,-11.6455,43.3333,869595,324,COM
Tajikistan,7/25/20,7150,59,38.861,71.2761,9537642,5906,TJK
Lesotho,7/25/20,419,9,-29.61,28.2336,2142252,69,LSO
